"","Station","Date.local.","Amount.MJ.m2.","Period.Hrs.","Type","Freq"
"349","Pukekohe Ews","20160315:1200",1.79,1,"G","H"
"350","Pukekohe Ews","20160315:1300",3.01,1,"G","H"
"351","Pukekohe Ews","20160315:1400",2.55,1,"G","H"
"352","Pukekohe Ews","20160315:1500",1.68,1,"G","H"
"353","Pukekohe Ews","20160315:1600",0.89,1,"G","H"
"354","Pukekohe Ews","20160315:1700",0.42,1,"G","H"
"355","Pukekohe Ews","20160315:1800",0.42,1,"G","H"
"356","Pukekohe Ews","20160315:1900",0.2,1,"G","H"
"357","Pukekohe Ews","20160315:2000",0.04,1,"G","H"
"358","Pukekohe Ews","20160315:2100",0,1,"G","H"
"359","Pukekohe Ews","20160315:2200",0,1,"G","H"
"360","Pukekohe Ews","20160315:2300",0,1,"G","H"
"361","Pukekohe Ews","20160316:0000",0,1,"G","H"
"362","Pukekohe Ews","20160316:0100",0,1,"G","H"
"363","Pukekohe Ews","20160316:0200",0,1,"G","H"
"364","Pukekohe Ews","20160316:0300",0,1,"G","H"
"365","Pukekohe Ews","20160316:0400",0,1,"G","H"
"366","Pukekohe Ews","20160316:0500",0,1,"G","H"
"367","Pukekohe Ews","20160316:0600",0,1,"G","H"
"368","Pukekohe Ews","20160316:0700",0,1,"G","H"
"369","Pukekohe Ews","20160316:0800",0.07,1,"G","H"
"370","Pukekohe Ews","20160316:0900",0.71,1,"G","H"
"371","Pukekohe Ews","20160316:1000",1.13,1,"G","H"
"372","Pukekohe Ews","20160316:1100",1.93,1,"G","H"
"373","Pukekohe Ews","20160316:1200",1.94,1,"G","H"
"374","Pukekohe Ews","20160316:1300",2.62,1,"G","H"
"375","Pukekohe Ews","20160316:1400",2.95,1,"G","H"
"376","Pukekohe Ews","20160316:1500",2.28,1,"G","H"
"377","Pukekohe Ews","20160316:1600",2.62,1,"G","H"
"378","Pukekohe Ews","20160316:1700",2.25,1,"G","H"
"379","Pukekohe Ews","20160316:1800",1.29,1,"G","H"
"380","Pukekohe Ews","20160316:1900",0.68,1,"G","H"
"381","Pukekohe Ews","20160316:2000",0.07,1,"G","H"
"382","Pukekohe Ews","20160316:2100",0,1,"G","H"
"383","Pukekohe Ews","20160316:2200",0,1,"G","H"
"384","Pukekohe Ews","20160316:2300",0,1,"G","H"
"385","Pukekohe Ews","20160317:0000",0,1,"G","H"
"386","Pukekohe Ews","20160317:0100",0,1,"G","H"
"387","Pukekohe Ews","20160317:0200",0,1,"G","H"
"388","Pukekohe Ews","20160317:0300",0,1,"G","H"
"389","Pukekohe Ews","20160317:0400",0,1,"G","H"
"390","Pukekohe Ews","20160317:0500",0,1,"G","H"
"391","Pukekohe Ews","20160317:0600",0,1,"G","H"
"392","Pukekohe Ews","20160317:0700",0,1,"G","H"
"393","Pukekohe Ews","20160317:0800",0.06,1,"G","H"
"394","Pukekohe Ews","20160317:0900",0.35,1,"G","H"
"395","Pukekohe Ews","20160317:1000",0.32,1,"G","H"
"396","Pukekohe Ews","20160317:1100",0.63,1,"G","H"
"397","Pukekohe Ews","20160317:1200",0.74,1,"G","H"
"398","Pukekohe Ews","20160317:1300",1.13,1,"G","H"
"399","Pukekohe Ews","20160317:1400",1.19,1,"G","H"
"400","Pukekohe Ews","20160317:1500",1.14,1,"G","H"
"401","Pukekohe Ews","20160317:1600",0.68,1,"G","H"
"402","Pukekohe Ews","20160317:1700",0.61,1,"G","H"
"403","Pukekohe Ews","20160317:1800",0.34,1,"G","H"
"404","Pukekohe Ews","20160317:1900",0.11,1,"G","H"
"405","Pukekohe Ews","20160317:2000",0.04,1,"G","H"
"406","Pukekohe Ews","20160317:2100",0,1,"G","H"
"407","Pukekohe Ews","20160317:2200",0,1,"G","H"
"408","Pukekohe Ews","20160317:2300",0,1,"G","H"
"409","Pukekohe Ews","20160318:0000",0,1,"G","H"
"410","Pukekohe Ews","20160318:0100",0,1,"G","H"
"411","Pukekohe Ews","20160318:0200",0,1,"G","H"
"412","Pukekohe Ews","20160318:0300",0,1,"G","H"
"413","Pukekohe Ews","20160318:0400",0,1,"G","H"
"414","Pukekohe Ews","20160318:0500",0,1,"G","H"
"415","Pukekohe Ews","20160318:0600",0,1,"G","H"
"416","Pukekohe Ews","20160318:0700",0,1,"G","H"
"417","Pukekohe Ews","20160318:0800",0.06,1,"G","H"
"418","Pukekohe Ews","20160318:0900",0.58,1,"G","H"
"419","Pukekohe Ews","20160318:1000",1.31,1,"G","H"
"420","Pukekohe Ews","20160318:1100",1.26,1,"G","H"
"421","Pukekohe Ews","20160318:1200",1.56,1,"G","H"
"422","Pukekohe Ews","20160318:1300",2.26,1,"G","H"
"423","Pukekohe Ews","20160318:1400",2.38,1,"G","H"
"424","Pukekohe Ews","20160318:1500",1.26,1,"G","H"
"425","Pukekohe Ews","20160318:1600",2.19,1,"G","H"
"426","Pukekohe Ews","20160318:1700",1.04,1,"G","H"
"427","Pukekohe Ews","20160318:1800",1.14,1,"G","H"
"428","Pukekohe Ews","20160318:1900",0.3,1,"G","H"
"429","Pukekohe Ews","20160318:2000",0.02,1,"G","H"
"430","Pukekohe Ews","20160318:2100",0,1,"G","H"
"431","Pukekohe Ews","20160318:2200",0,1,"G","H"
"432","Pukekohe Ews","20160318:2300",0,1,"G","H"
"433","Pukekohe Ews","20160319:0000",0,1,"G","H"
"434","Pukekohe Ews","20160319:0100",0,1,"G","H"
"435","Pukekohe Ews","20160319:0200",0,1,"G","H"
"436","Pukekohe Ews","20160319:0300",0,1,"G","H"
"437","Pukekohe Ews","20160319:0400",0,1,"G","H"
"438","Pukekohe Ews","20160319:0500",0,1,"G","H"
"439","Pukekohe Ews","20160319:0600",0,1,"G","H"
"440","Pukekohe Ews","20160319:0700",0,1,"G","H"
"441","Pukekohe Ews","20160319:0800",0.04,1,"G","H"
"442","Pukekohe Ews","20160319:0900",0.6,1,"G","H"
"443","Pukekohe Ews","20160319:1000",1.03,1,"G","H"
"444","Pukekohe Ews","20160319:1100",1.12,1,"G","H"
