Trading_period,Trading_date,Season,Tararua,Tararua_Embed,TeApiti,TeRereHau,TeUku,Westwind,Whitehill
31,2019-10-06,Spring,0.2100884859427723,0.22786132982072768,0.3460225980131948,0.0755417659616196,0.007174313741276738,0.1802764189308658,0.0003251287643688063
32,2019-10-06,Spring,0.23665119031612183,0.2337073335924161,0.4154343924572179,0.0783697614710656,0.047062271764358087,0.18586078858961516,0.0
33,2019-10-06,Spring,0.26951533960619456,0.2796083413215893,0.4291094765046384,0.10729357584582369,0.06245332090162699,0.2146667059586256,0.003901545172425675
34,2019-10-06,Spring,0.34152907623932,0.3378265982821042,0.48070069007355726,0.14366715720372245,0.06413959122543135,0.18294336064124478,0.0
35,2019-10-06,Spring,0.3924469098063535,0.34773537169096114,0.5475089102904376,0.19175295744932022,0.09832488960801067,0.1327135026816762,0.0018062709131600348
36,2019-10-06,Spring,0.45628273975309186,0.398621224266683,0.610651904653573,0.25019694380834534,0.10319974381682692,0.10031237107325987,0.013005150574752251
37,2019-10-06,Spring,0.4944924955249383,0.4319847566773725,0.6789009377922702,0.26081051019145995,0.11779364698284285,0.06676194966700065,0.0071889582343769385
38,2019-10-06,Spring,0.5198697773033648,0.41450173501412746,0.5786254139177472,0.2896153352324595,0.10350633842115498,0.04339305711086226,0.0018785217496864364
39,2019-10-06,Spring,0.542424591664906,0.3938785328450738,0.5142691034099239,0.2818175362059146,0.1558726968403886,0.011507632463016445,0.005021433138584897
40,2019-10-06,Spring,0.6090561346991304,0.4301247648389945,0.5942468592806046,0.3191886526503816,0.17739563806421882,0.0010019449519655804,0.020880491756130003
41,2019-10-06,Spring,0.6159109597624032,0.40395098890174663,0.6066327949242941,0.31718605746009043,0.17003736756034524,0.0071020215712854365,0.03291025603777584
42,2019-10-06,Spring,0.6143242222264907,0.3831584268999675,0.5733929880437805,0.36858850901661666,0.2235994449364583,0.01744562975187128,0.011162754243329014
43,2019-10-06,Spring,0.592164320060442,0.32643996257794455,0.5543843684436692,0.3932164792231925,0.2165477690369128,0.00870808039134791,0.07188958234376938
44,2019-10-06,Spring,0.513101160634823,0.24336658135050887,0.5502894264553474,0.295717653831339,0.19836670900025852,0.006262155949784877,0.18770767329559085
45,2019-10-06,Spring,0.48270778509825013,0.18192743709564163,0.4203634892950127,0.20387481945837746,0.22700264504449985,0.0010166794365533095,0.3031283846465171
46,2019-10-06,Spring,0.42404743153864377,0.13158678361090545,0.2586891130153434,0.16733098458735393,0.24647140241933202,0.0,0.36085680303111173
47,2019-10-06,Spring,0.34383657998263945,0.10653302098537892,0.15960162786582746,0.12053619509735726,0.21115158600808173,0.0,0.5661825995751885
48,2019-10-06,Spring,0.2722470252387081,0.0802195544422062,0.10366269811177675,0.07518667921463278,0.22810650982287786,0.00022101726881593682,0.6080361338265068
1,2019-10-07,Spring,0.1763782595691318,0.058334132842658655,0.045474078006117136,0.05068663429968663,0.25919507849894674,0.0,0.6879111903287781
2,2019-10-07,Spring,0.0960869163554475,0.031944067881387685,0.015065342129875382,0.022865234938090274,0.3764675146544319,0.00035362763010549894,0.8049856981030626
3,2019-10-07,Spring,0.040843799535526554,0.006169113432682025,0.0002527741968099896,0.0017232289284234478,0.46369367958576657,0.018874874756881006,0.6811444985950349
4,2019-10-07,Spring,0.029987258536460438,0.00031998104824041063,0.0,3.2921950051758013e-6,0.4277914514189501,0.03148759356397714,0.5871626689597148
5,2019-10-07,Spring,0.029001921738327108,3.820153381908216e-5,0.0,0.0,0.5017114105224467,0.03891377379619261,0.48394376806880884
6,2019-10-07,Spring,0.03595255931457694,0.00033709675393623885,0.0,0.0,0.4079547805189242,0.06194377320681323,0.6071763233468173
7,2019-10-07,Spring,0.04300724150515741,0.0013514434990974853,0.0,0.0001965910731662121,0.39360615303637075,0.10941828254847646,0.6988667864691239
8,2019-10-07,Spring,0.07767147695789096,0.01428757200418852,0.005636864588862769,0.008491511545492728,0.4488238412758554,0.15317970177403198,0.7103594216359573
9,2019-10-07,Spring,0.10457489885948808,0.027848190849321018,0.023609109982053032,0.017815478113722763,0.3912147151226118,0.23545706371191139,0.6751296614983745
10,2019-10-07,Spring,0.0806343474367523,0.020953909460249054,0.025985187432066934,0.01732023792222989,0.35877700598470247,0.24472505451759302,0.6467740008998322
11,2019-10-07,Spring,0.06546144129459855,0.0186793899563374,0.017618361517656278,0.014747622682471085,0.3797174174603094,0.2458448753462604,0.4977635723504216
12,2019-10-07,Spring,0.062016078208621574,0.010436484125576673,0.024696039028335986,0.011504340288800754,0.37671279033789434,0.23744621913125477,0.6716210065253226
13,2019-10-07,Spring,0.055037314286080156,0.009553328738630405,0.023002451909709058,0.005948055747208337,0.4190228457351674,0.28377143867507515,0.768180623487783
14,2019-10-07,Spring,0.04357685718493233,0.008045096960262389,0.011627613053259524,0.005687031714655112,0.46237532278715593,0.3995255495962751,0.8147240057833701
15,2019-10-07,Spring,0.04258168759907106,0.003613631880889739,0.015697277621900357,0.007872108570947509,0.5603936177908384,0.562665762951612,0.8091371182591692
16,2019-10-07,Spring,0.03903731062736845,0.00014272304614384337,0.010439574328252571,0.003433289076826192,0.5233569895880082,0.6488330288206519,0.7808147903408199
17,2019-10-07,Spring,0.04140312508860942,0.0,0.0032102322994868684,0.006444706879417715,0.4923602750904407,0.6500559910414334,0.5527911502634971
18,2019-10-07,Spring,0.02432448748308989,0.0,0.00010110967872399585,0.00476474679963372,0.48291716127713624,0.7159044026639949,0.5838951353881129
19,2019-10-07,Spring,0.02008061056581062,0.0,0.0,0.00038612744274990466,0.48748542088162444,0.796074733305829,0.6568684802797784
20,2019-10-07,Spring,0.03861061337387186,0.003110529311358282,0.002224412931927909,0.006321955037081873,0.42601320271384735,0.748099251488183,0.6493543932810325
21,2019-10-07,Spring,0.0698166802496339,0.03249412067995869,0.024013548696949015,0.03402248381063106,0.41359612123856065,0.7667236400070726,0.7491689239422561
22,2019-10-07,Spring,0.14614563867843675,0.12711300261648498,0.11958747251080609,0.10185534001084544,0.3615056979632223,0.7997288854835859,0.7518422048937329
23,2019-10-07,Spring,0.2544028022073008,0.319823956416579,0.34733702383660675,0.20711104714846532,0.3304170050843564,0.8341191725113456,0.7474710292838858
24,2019-10-07,Spring,0.3818389325342707,0.3994847394189107,0.6650489118070827,0.3176380288029438,0.2768855871686761,0.8878705722873815,0.6855881877990228
25,2019-10-07,Spring,0.700229858563352,0.0022203172647151195,0.7099416091605368,0.5866832593294927,0.2988071013781328,0.9001001944951966,0.8166873306761782
26,2019-10-07,Spring,0.6707383554639658,0.013365424665407716,0.6304694016834762,0.5847676721500527,0.29491334990316637,0.9142452996994166,0.8371343174131497
27,2019-10-07,Spring,0.6652342810311347,0.05851306484792863,0.5756679558150705,0.5708713170332056,0.21084510939641077,0.900733777332469,0.7614876915700074
28,2019-10-07,Spring,0.5774421214673995,0.1894121697584318,0.5283233487525594,0.40631471220807047,0.22485648281420337,0.845302646313432,0.7051681644976775
29,2019-10-07,Spring,0.4575235003626698,0.29531856657566663,0.3878567275852481,0.3355132367403319,0.25033449443386563,0.8262951611952615,0.6913321293028717
30,2019-10-07,Spring,0.41099200480022974,0.3527572609955268,0.32132655898485885,0.2868592976995552,0.2942695012340774,0.8591677963104851,0.7545516112634729
31,2019-10-07,Spring,0.36085347682800667,0.3316096840945334,0.3394504688961351,0.1859864427409687,0.26731983551364047,0.907747391996228,0.6968231928788782
32,2019-10-07,Spring,0.2791093963948884,0.31912322830544254,0.29650413285811783,0.14258778755559695,0.15547412385476214,0.9182825484764544,0.9287845035468899
33,2019-10-07,Spring,0.23677901655658518,0.21690428781066234,0.19145117666388614,0.15075760461772678,0.08845254334864695,0.9091029645782991,0.9357205838534245
34,2019-10-07,Spring,0.28032660404781573,0.24912328291340957,0.1805818862010566,0.18805911465351294,0.07729249975110537,0.91253609948724,0.9274478630711515
35,2019-10-07,Spring,0.26567163428249463,0.15824808817792782,0.19190617021814413,0.13957354787157242,0.09409388406828335,0.9318530087817529,0.9130338211841345
36,2019-10-07,Spring,0.23366179417734326,0.1618569895722916,0.22711761583377568,0.09954657068507286,0.1082892142486728,0.9099575646843874,0.9456189484575415
37,2019-10-07,Spring,0.17702310750849964,0.14030089278376032,0.1361947372412224,0.05931171489967506,0.11889738755842388,0.8922319797253493,0.9157432275538744
38,2019-10-07,Spring,0.19602439811905628,0.12542802675800002,0.10424407876443972,0.08319800060294201,0.1451418856889063,0.9345494194613073,0.9083013913916552
39,2019-10-07,Spring,0.20366607487004715,0.15013516854331288,0.10578600136498065,0.09883451593681054,0.08354702967939791,0.8937348971532977,0.8662514045332895
40,2019-10-07,Spring,0.20053993438100545,0.15562280940944018,0.13462753722100046,0.11573711540695528,0.06708289942698079,0.880282312724701,0.8399159746194161
41,2019-10-07,Spring,0.223596449586154,0.20308793117013474,0.16799373119991912,0.12966686278742628,0.07646469431941959,0.8371544763364178,0.6995325992486182
42,2019-10-07,Spring,0.24197850323933187,0.22070873201018737,0.20874093172568942,0.1367657758457296,0.10062434914047116,0.8354010726704781,0.6639129368411024
43,2019-10-07,Spring,0.26528998491696093,0.2539519375536347,0.2564394226637345,0.158584092772174,0.10506997090322813,0.8559851476395357,0.6370356256532811
44,2019-10-07,Spring,0.2735131681607931,0.27268476337428676,0.3340411010844013,0.16348946332988593,0.12460004719892591,0.8631166381799966,0.6728720405703762
45,2019-10-07,Spring,0.2991449590727361,0.2908119697093423,0.4938702257273578,0.21344946316057306,0.1884943627408948,0.8807390817469206,0.7962403439392065
46,2019-10-07,Spring,0.37127943319238144,0.4048048086603704,0.6414650792447106,0.27280679847674844,0.17908190838802318,0.9301143396004008,0.9158154783904009
47,2019-10-07,Spring,0.44131152009410207,0.4814391051246673,0.7026111574530471,0.2817996642901722,0.22571498496716105,0.9117404373195026,0.909850790461238
48,2019-10-07,Spring,0.6684626367786507,0.6560039757244776,0.8593817143146028,0.42528057731931607,0.17736500965448526,0.9082483644722108,0.8929517221922304
1,2019-10-08,Spring,0.778264691328213,0.7204645484431588,0.9337478830161017,0.6247278648093043,0.15007805881858816,0.921671479931632,0.8847180922355801
2,2019-10-08,Spring,0.8300956021370536,0.747992773271198,0.9631707995247845,0.8019791735743973,0.1492502533869024,0.9261654977308894,0.8963897404112426
3,2019-10-08,Spring,0.8871783649400293,0.7650211543059731,0.9578119865524128,0.8743472635510274,0.12263784173122627,0.9164112689338128,0.8911983631551964
4,2019-10-08,Spring,0.9158935351478715,0.7657073814021873,0.9720431738328151,0.8842365470330033,0.20771784443226451,0.919387634820534,0.8470537551779203
5,2019-10-08,Spring,0.9041307769914597,0.766256610723434,0.9184297666894164,0.8385803867012254,0.14170802612043198,0.942727058407497,0.8288302308791097
6,2019-10-08,Spring,0.8786293276842826,0.7661548842253846,0.9408761153661435,0.8706223800594571,0.08787001360042362,0.9345936229150705,0.7582991054004122
7,2019-10-08,Spring,0.8561348820660013,0.7649784987816638,0.9413311089204015,0.8222242916019399,0.10752272773785264,0.9531296045264337,0.675058056294843
8,2019-10-08,Spring,0.8320164257862342,0.7625787987029246,0.879780591997169,0.7877606536606151,0.07701656460721011,0.9710025343313492,0.6607012129867426
9,2019-10-08,Spring,0.7788830136076634,0.747668461453527,0.8145648492201917,0.7192792350443812,0.06573388316793728,0.9625154712088172,0.6610234364026351
10,2019-10-08,Spring,0.7716863276687329,0.7498145004625312,0.8166881524733954,0.7039423094559837,0.07106862928324564,0.9597895915600873,0.7667127168153837
11,2019-10-08,Spring,0.8399075809421365,0.7577037468257315,0.8935315083036323,0.8016678259896222,0.09446179759347705,0.9724907172747099,0.8336993847192633
12,2019-10-08,Spring,0.8862957007393341,0.7644313311591188,0.9464118702762823,0.8882605499564726,0.12174871737867489,0.9638415748217128,0.7801028898758066
13,2019-10-08,Spring,0.9350928535298793,0.7623278304641474,0.9495968251560881,0.905182432283076,0.14020571255922443,0.9700889962869098,0.8696451968921629
14,2019-10-08,Spring,0.9275403578768862,0.7661608078524128,0.9764161674376279,0.9111925694218107,0.10911701968035857,0.9148052101137503,0.9170120390283644
15,2019-10-08,Spring,0.9259579650611326,0.6998928346446022,0.9339248249538687,0.9204078935548698,0.12453872827806028,0.9414304237637768,0.7608735594595332
16,2019-10-08,Spring,0.9010524284241654,0.5603974679803391,0.9568261671848538,0.934760923150292,0.13907131252321062,0.9613072434726234,0.7728671983229157
17,2019-10-08,Spring,0.8252173960765805,0.4119262195213047,0.9671646318343824,0.878657687439947,0.10976086834944751,0.9890375434667296,0.55745132921945
18,2019-10-08,Spring,0.7883028242510387,0.42750845716471264,0.97444452870251,0.8522058412005036,0.12331234986074802,0.9609683503271056,0.5642790332711949
19,2019-10-08,Spring,0.7726128964099807,0.5354187890554971,0.974722580319001,0.8758715498384237,0.07870283493101446,0.9200801555961573,0.6218268245644736
20,2019-10-08,Spring,0.7865964925760166,0.5365292632539824,0.948686838047572,0.9086237166906292,0.08026646741308759,0.9042847881181117,0.5124029326452387
21,2019-10-08,Spring,0.7847031092646813,0.5284537547351711,0.9508101413007761,0.881052053835854,0.11034339809767084,0.9180762656922261,0.33134233631007676
22,2019-10-08,Spring,0.7692189839574638,0.5298778265299395,0.9632466317838275,0.8757492683096603,0.07551425104600258,0.9169564448635588,0.1738355126825218
23,2019-10-08,Spring,0.7478164351159491,0.5246820452619743,0.9713859609211092,0.9215639243152586,0.055738899066842346,0.9106500854600107,0.06448387159981324
24,2019-10-08,Spring,0.7552513946551711,0.5144849976872459,0.9666590834407623,0.9465714375745742,0.08627572165791769,0.9239405905581424,0.010656998387644206
25,2019-10-08,Spring,0.7690108947288027,0.5232674795211332,0.9249260635474331,0.9302266300010207,0.07726184029067255,0.9285672187186893,0.004190548518531281
26,2019-10-08,Spring,0.7406236365582133,0.5179696381566404,0.9399155734182654,0.9407602430768668,0.09633202467987824,0.9400895856662934,0.006899954888271333
27,2019-10-08,Spring,0.7577647009323311,0.5142117985661101,0.9150425924521626,0.9314626140686779,0.06064441273609139,0.9351387988448165,0.003973796008952077
28,2019-10-08,Spring,0.8350344056102684,0.5225808617239989,0.9184550441090974,0.9307557327697097,0.1022186410829771,0.9092061059704133,0.00310678597063526
29,2019-10-08,Spring,0.8703171920119348,0.5202357064991094,0.8811961274993048,0.9103681097298002,0.1670327404379302,0.9191224140979549,3.61254182632007e-5
30,2019-10-08,Spring,0.8904423931267442,0.5276460316743461,0.8619600111220647,0.9045625589949587,0.1361893232425268,0.928906111864207,0.0
31,2019-10-08,Spring,0.9385050595409598,0.5260938821071575,0.8928742953919264,0.9206999582831862,0.15274543187624234,0.9167648965639182,0.0
32,2019-10-08,Spring,0.9033937752508275,0.5228606246205936,0.8486135335304973,0.8911050064409445,0.14860640471781347,0.8775122296222079,0.0
33,2019-10-08,Spring,0.9039066808990552,0.5245963585393941,0.8639569272768637,0.8798720370832847,0.11080329000416295,0.8704986149584488,0.0
34,2019-10-08,Spring,0.9258420296337355,0.5230248542496979,0.8581936755895958,0.8527993769285797,0.0760661213337931,0.9562091118052691,0.0
35,2019-10-08,Spring,0.8509948494485865,0.5216432546503456,0.8574100755794849,0.7547568690473,0.09593345169425176,0.9568426946425413,0.0
36,2019-10-08,Spring,0.7999249506759927,0.5139408865480534,0.8668891079598595,0.7139792713996204,0.09688389496766876,0.9716950551069725,0.00010837625478960209
37,2019-10-08,Spring,0.6929618277460232,0.5052114318452103,0.9091529536664897,0.5718528614583201,0.08373098644199474,0.9595833087758591,0.00025287792784240483
38,2019-10-08,Spring,0.7177361081002963,0.5197599920640829,0.8577134046156569,0.6782335586605657,0.08599978651402243,0.949799611009607,0.0028177826245296546
39,2019-10-08,Spring,0.7286678813589553,0.5331940899296924,0.9315740249235358,0.6637737678842616,0.0349824443538323,0.9120056580420818,0.009139730820589777
40,2019-10-08,Spring,0.771736634954783,0.5188251168914791,0.9605672252976416,0.7274391755214955,0.03329617403002793,0.9153503860434963,0.01759307869417874
41,2019-10-08,Spring,0.7784236166182344,0.5201334480467299,0.9831399610727737,0.776641970500992,0.02048051956911479,0.9628396298697472,0.014630794396596283
42,2019-10-08,Spring,0.7981934653579454,0.5210800202038057,0.9911023482722885,0.7635893579326144,0.009136519208976358,0.9680409029292156,0.0014088913122648273
43,2019-10-08,Spring,0.7539987432325267,0.5127159730446539,0.9627663608098885,0.7447777556730399,0.02878923334640537,0.9540873460246361,0.000361254182632007
44,2019-10-08,Spring,0.6558570029114198,0.5262617813195196,0.9422916508682794,0.6093006390150506,0.09397124622655213,0.9322950433193848,0.0
45,2019-10-08,Spring,0.6153372280319516,0.5230345496433019,0.9993680645079751,0.5261073415478301,0.09988852209008381,0.9270643012907409,0.0
46,2019-10-08,Spring,0.645909880442448,0.5261565385131883,0.975127019033897,0.5386092169231992,0.01848765464098236,0.9392349855602051,0.0
47,2019-10-08,Spring,0.5928393523714397,0.49710260555408226,0.8139834685675286,0.48851941054659376,0.066592261118098,0.9687628926740144,0.0
48,2019-10-08,Spring,0.5848016200775463,0.5231761817322609,0.8080179975228129,0.4804112045624179,0.06548871926699211,0.9275505392821359,0.0
1,2019-10-09,Spring,0.5260209863703842,0.4915065061125113,0.8577639594550188,0.38898130550581994,0.052918228707024145,0.9093976542700537,0.0
